,x,y,z
9971,0.03,0.05,1.0
2823,0.04,0.02,1.0
5822,0.04,0.03,1.0
13768,0.03,0.04,1.01
9127,0.04,0.03,1.0
16469,0.11,0.1,0.9
17793,0.04,0.02,1.0
15994,0.03,0.04,1.0
15396,0.05,-0.01,1.04
7439,0.04,0.04,1.0
3455,0.04,0.03,1.0
2123,0.03,0.05,1.01
1328,0.0,0.02,1.04
17769,0.04,0.03,1.0
4297,0.04,0.05,1.0
15457,0.06,-0.07,0.96
1461,0.04,0.04,1.0
8596,0.04,0.03,1.0
7934,0.04,0.05,1.01
3107,-0.04,0.04,1.12
17455,0.04,0.02,1.0
14663,0.22,0.13,0.84
13079,0.31,0.0,0.99
11464,0.04,0.03,1.0
16601,0.03,0.04,1.01
18807,0.04,0.04,1.0
14396,0.04,0.03,1.0
18306,0.04,0.05,1.0
12059,0.04,0.02,1.0
3563,0.04,0.03,1.0
1588,0.04,0.04,1.0
1397,0.04,0.05,1.0
4811,0.04,0.04,1.01
7217,0.04,0.05,1.0
9873,0.04,0.04,1.0
7610,0.08,0.03,0.96
18984,0.07,0.0,1.01
15212,0.04,0.05,1.0
16468,0.16,0.15000000000000002,1.03
14790,0.04,0.03,1.0
15103,0.04,0.03,1.0
10903,-0.05,0.06,1.16
5231,0.03,0.04,1.01
7590,0.04,0.04,1.0
8879,0.04,-0.14,1.0
12048,0.04,0.09,1.02
18047,-0.03,0.01,1.0
13615,0.04,0.04,1.01
11085,0.04,0.04,1.01
15887,0.03,0.03,1.0
3420,0.04,0.03,1.0
10338,-0.29,0.12,0.96
15379,0.03,0.05,1.0
13155,0.04,0.04,1.0
14045,0.17,0.02,0.95
12822,0.04,0.04,1.02
18713,0.04,0.04,1.0
3108,0.02,0.02,1.0
5878,0.03,0.05,1.01
18464,0.04,0.04,1.0
16105,0.02,0.05,1.0
7227,0.04,0.04,1.0
12125,0.04,0.02,1.0
14281,0.04,0.02,1.0
2090,0.04,0.05,1.0
14438,0.04,0.03,1.0
373,0.04,0.03,1.0
2186,0.02,0.06,1.02
12370,0.02,0.03,1.01
12249,0.04,0.03,1.0
14779,0.04,0.02,1.12
4322,0.04,0.04,1.0
13254,0.04,0.05,1.0
19685,0.04,0.04,1.01
15959,0.03,0.04,1.0
16047,0.03,0.04,1.0
16576,0.13,-0.26,0.91
16473,0.02,0.08,1.04
587,0.03,0.04,1.01
4384,0.03,0.05,1.0
15068,0.04,0.03,1.0
8318,0.04,0.02,1.0
17017,0.06,0.24,0.93
8301,0.03,0.05,1.01
17015,0.11,0.28,1.12
18485,0.05,0.05,1.02
3261,0.01,0.04,1.0
9102,0.04,0.02,1.0
1486,0.04,0.05,1.01
8479,0.04,0.03,1.0
13283,0.05,0.04,1.0
4354,0.06,-0.2,0.94
6746,0.04,0.03,1.0
450,0.01,0.03,1.02
5876,0.04,0.03,1.0
5148,0.04,0.04,1.01
12159,0.04,0.03,1.0
3814,0.04,0.02,1.0
8950,0.04,0.03,1.0
16782,0.04,0.03,1.0
10900,0.0,0.03,1.05
17891,0.04,0.02,1.0
3362,0.02,0.03,1.0
17047,0.04,0.03,1.0
17043,0.04,0.02,1.0
12566,0.02,0.07,1.08
18880,0.04,-0.07,0.99
8017,0.18,0.35000000000000003,1.02
12065,0.04,0.02,1.0
18740,0.04,0.04,1.0
1491,0.04,0.04,1.0
19582,0.03,0.05,1.01
3857,0.04,0.02,1.0
11549,0.04,0.03,1.0
11752,0.04,0.03,1.0
15499,0.04,0.05,1.0
19264,0.04,0.05,1.01
3022,0.04,0.02,1.0
7145,0.04,0.05,1.0
9785,0.04,0.05,1.0
469,0.04,0.03,1.0
27,0.04,0.02,1.0
12536,0.04,0.04,1.0
14012,0.04,0.03,1.0
15941,-0.0,0.3,1.05
16784,0.04,0.03,1.0
806,0.04,0.02,1.0
18294,0.04,0.05,1.0
16493,0.04,0.05,1.01
4876,0.04,0.04,1.0
4776,0.04,0.05,1.0
19091,0.04,0.04,1.0
19261,0.04,0.04,1.01
10844,0.04,0.04,1.01
3473,0.04,0.02,1.0
1145,0.03,0.01,1.0
8945,-0.06,0.18,0.89
2761,-0.01,0.11,0.96
18411,0.04,0.05,1.0
10690,0.04,0.04,1.0
17357,0.04,0.03,1.0
14531,0.04,0.02,1.0
10226,0.04,0.05,1.0
17543,0.14,0.02,0.95
