,x,y,z
15160,0.04,0.03,1.0
10227,0.04,0.05,1.0
1594,0.04,0.05,1.0
2396,0.03,0.04,1.01
3166,0.04,0.02,1.0
9532,0.04,0.02,1.0
380,0.04,0.03,1.0
10267,0.04,0.04,1.0
11574,0.11,0.01,1.12
12492,0.04,0.04,1.0
16032,0.03,0.04,1.0
5589,0.03,0.03,1.0
3284,0.04,0.03,1.0
17289,0.1,0.18,0.85
9241,0.04,0.03,1.0
11023,0.02,0.06,1.02
1666,0.05,0.03,0.93
2956,0.03,0.02,1.0
4368,0.02,-0.09,1.02
17798,0.04,0.02,1.0
9982,0.1,0.07,0.92
5513,0.0,0.12,1.07
18051,0.04,0.01,1.0
2545,0.03,0.05,1.01
15723,0.04,0.04,1.0
12997,0.04,0.04,1.0
18812,0.05,0.02,1.03
7082,0.04,0.05,1.0
7630,0.04,0.04,1.0
13751,0.04,0.05,1.0
9686,0.04,0.02,1.0
18484,-0.08,0.07,1.14
2359,0.03,0.04,1.01
2138,0.04,0.04,1.14
8666,0.04,0.03,1.0
9555,-0.02,0.08,1.14
2402,0.04,0.04,1.01
18101,0.04,0.03,1.0
17122,0.04,0.02,1.0
4460,0.04,0.05,1.0
893,0.01,0.02,1.06
2581,0.04,0.04,1.01
2378,0.04,0.04,1.0
19655,0.2,0.19,1.0
17255,0.04,0.03,1.0
15066,0.04,0.02,1.0
14027,0.04,0.03,1.0
9503,-0.12,0.07,1.15
16319,0.04,0.04,1.0
15301,0.04,0.04,1.0
1283,0.04,0.05,1.0
10484,0.04,0.05,1.0
19626,0.04,0.05,1.01
11333,0.04,0.02,1.0
6142,0.04,0.02,1.0
15546,0.04,0.05,1.0
14494,0.04,0.02,1.0
10933,0.04,0.04,1.01
2520,0.04,0.04,1.01
9371,0.04,0.02,1.0
4546,0.04,0.05,1.0
13172,0.04,0.04,1.0
6133,0.04,0.03,1.0
1473,-0.02,0.07,0.95
415,0.04,0.03,1.0
8972,0.04,0.02,1.0
7013,0.02,0.08,1.05
5423,0.04,0.05,1.01
7717,0.05,0.02,1.0
6299,0.04,0.03,1.0
7976,0.03,0.04,1.01
14049,0.05,0.06,1.01
3870,0.04,0.02,1.0
711,0.08,0.01,0.95
15005,0.04,0.03,1.0
17922,0.04,0.02,1.0
3673,0.04,0.02,1.0
4826,0.04,0.04,1.0
18947,0.04,0.04,1.0
2533,0.06,0.0,1.21
18163,0.04,0.03,1.0
9867,0.02,0.01,0.98
9557,0.01,0.03,1.0
2948,0.04,0.02,1.0
16410,-0.01,-0.24,0.96
1497,0.04,0.05,1.0
16454,0.02,0.06,1.01
19464,0.04,0.04,1.01
6891,-0.08,0.12,1.06
9126,0.04,0.02,1.0
11394,0.06,0.04,1.0
10993,0.04,0.05,1.01
4352,0.05,-0.05,0.99
14750,0.04,0.02,1.0
2943,0.04,0.02,1.0
17670,0.04,0.03,1.0
17976,0.04,0.03,1.0
13082,0.07,0.02,1.07
1525,0.06,0.04,0.96
12995,0.04,0.04,1.0
10037,0.04,0.05,1.0
8046,0.04,0.04,1.01
5644,0.04,0.03,1.0
18121,0.04,0.02,1.0
1408,0.04,0.05,1.0
3440,0.04,0.02,1.0
16028,0.03,0.04,1.0
16451,0.04,0.04,1.01
918,0.04,0.03,1.0
528,0.04,0.03,1.0
1814,0.04,0.05,1.0
10753,0.04,0.04,1.0
288,0.03,0.05,1.0
18598,0.04,0.04,1.0
17838,0.03,0.03,1.0
19514,0.04,0.04,1.01
8805,0.04,0.03,1.0
15854,0.03,0.04,1.0
16399,0.03,0.07,1.02
11396,0.04,0.03,1.0
15148,0.26,0.39,0.8
12770,0.04,0.04,1.0
16276,0.04,0.04,1.01
6914,-0.01,0.07,0.98
17485,0.11,0.04,1.04
8549,0.04,0.03,1.0
15867,0.03,0.04,1.0
4511,0.04,0.08,1.0
8727,0.04,0.03,1.0
1488,0.02,0.05,1.0
2508,0.04,0.04,1.01
6728,0.04,0.04,0.98
14798,0.04,0.02,1.0
3082,0.04,0.02,1.0
12542,0.04,0.05,1.0
775,0.1,0.0,0.89
10488,0.04,0.05,1.0
7137,0.04,0.04,1.0
1634,0.04,0.05,1.0
9904,0.04,0.03,0.95
15561,0.04,0.05,1.0
16240,0.04,0.05,1.0
12322,0.04,0.02,1.01
13886,0.04,0.03,1.0
470,0.04,0.02,1.0
2774,0.04,0.02,1.0
12588,0.01,0.04,1.03
16802,0.04,0.03,1.0
11274,0.04,0.03,1.0
18648,0.04,0.05,1.0
6215,-0.02,0.36,0.97
12678,0.09,0.0,0.96
18470,0.04,0.04,1.0
15237,0.02,-0.07,1.16
17381,0.1,0.07,0.94
14834,0.06,0.08,1.05
6261,0.02,0.02,1.0
599,0.03,0.05,1.12
4892,0.03,0.05,1.01
11397,0.04,0.03,1.0
18641,0.04,0.04,1.0
4243,0.03,0.05,1.0
5009,0.05,0.18,0.88
1909,0.04,0.05,1.0
12959,0.04,0.05,1.0
11783,0.09,0.09,1.01
5034,0.04,0.04,1.01
16625,0.18,-0.15000000000000002,0.89
13805,0.04,0.04,1.01
19740,0.03,0.04,1.01
12255,0.04,0.03,1.0
6191,0.04,0.03,1.0
16942,0.09,0.03,1.02
9886,0.04,0.05,1.0
12306,0.04,0.03,1.0
14285,0.04,0.02,1.0
5501,0.02,0.04,1.02
7986,0.04,0.04,1.01
19232,0.04,0.04,1.0
6311,0.04,0.03,1.0
9238,-0.06,0.04,1.06
18886,0.04,0.05,1.0
18547,0.02,0.1,1.03
13647,0.02,0.09,1.05
8779,0.04,0.03,1.0
1448,0.04,0.04,1.0
16004,0.04,-0.34,0.89
1332,0.04,0.05,1.0
11844,0.04,0.02,1.0
1421,-0.04,0.0,1.01
8530,0.04,0.03,1.0
11978,0.04,0.03,1.0
16927,0.04,0.03,1.0
16246,0.06,-0.06000000000000001,0.86
12973,0.04,0.04,1.0
6829,0.04,0.02,1.0
8114,0.04,0.05,1.01
7799,0.03,0.04,1.0
6589,0.05,0.02,1.0
13520,0.04,0.05,1.01
2882,0.03,0.02,1.0
16994,0.04,0.03,1.0
3948,0.04,0.03,1.0
3326,0.04,0.02,1.0
3725,0.04,0.03,1.0
3223,0.05,-0.25,0.89
10824,0.03,0.04,1.01
3665,0.04,0.03,1.0
7294,-0.02,-0.01,1.03
17899,0.04,0.02,1.0
14535,0.04,0.03,1.0
6747,0.04,0.03,1.0
2593,0.05,0.05,1.1
12861,0.38,0.02,0.92
3459,0.04,0.03,1.0
5045,0.04,0.04,1.01
16897,0.04,0.03,1.0
16045,0.03,0.04,1.0
15927,0.03,0.04,1.0
9462,0.04,0.02,1.0
3474,0.04,0.02,1.0
4601,0.04,0.05,1.0
1761,0.04,0.05,1.0
18321,0.11,0.1,1.03
11145,0.04,0.04,1.01
17201,0.04,0.03,0.99
15528,0.04,0.05,1.0
7540,0.04,0.04,1.0
19374,0.07,-0.21999999999999997,1.05
854,0.09,0.02,0.89
1496,0.04,0.05,1.0
18253,0.04,0.05,1.0
12458,0.04,0.03,1.0
2469,0.04,0.04,1.01
18657,0.05,0.04,1.0
14500,0.04,0.02,1.0
17372,0.04,0.02,1.0
7051,0.04,0.04,1.0
4806,0.04,0.04,1.0
13797,0.04,0.04,1.01
7798,0.04,0.04,1.01
11660,0.04,0.02,1.0
16550,0.04,0.05,1.0
5657,0.04,0.03,1.0
19425,0.12,0.41000000000000003,1.0
10916,-0.12,-0.2,1.0
2336,0.03,0.04,1.01
17889,0.04,0.03,1.0
8031,0.04,0.04,1.01
9015,0.04,0.02,1.0
4947,0.0,0.07,0.99
19505,0.04,0.04,1.01
15972,0.03,0.04,1.0
4904,0.04,0.04,1.01
17078,0.08,0.53,1.01
501,0.03,0.01,1.05
15538,0.04,0.04,1.0
10871,0.04,0.04,1.01
15693,0.04,0.04,1.0
1048,0.04,0.02,1.0
16539,0.04,0.05,1.01
13059,0.04,0.04,1.0
2638,0.04,0.04,1.0
11392,0.05,0.06,1.02
13900,0.07,0.12,1.0
14168,0.25,-0.0,0.92
18401,0.04,0.04,1.0
14877,0.06,-0.04,0.99
13772,0.04,0.05,1.01
11538,0.04,0.03,1.0
16181,0.04,0.04,1.0
16407,0.1,-0.21999999999999997,0.99
17245,0.04,0.02,1.0
6127,0.02,0.01,0.98
3235,0.07,0.03,1.0
18050,0.06,0.04,1.0
14105,0.11,-0.05,1.03
17746,0.04,0.02,1.0
16851,0.04,0.03,1.0
778,0.04,0.08,0.99
18771,0.17,-0.11,1.05
7125,0.09,0.25,1.06
17328,0.04,0.02,1.0
13325,0.04,0.05,1.0
4270,-0.01,0.05,0.98
1196,0.04,0.05,1.0
15304,0.04,0.05,1.0
51,0.14,0.11,0.95
6154,0.04,0.03,1.0
9110,0.04,0.02,1.0
2308,0.04,0.05,1.0
11975,0.04,0.02,1.0
15670,0.04,0.05,1.0
17986,0.04,0.02,1.0
6691,0.04,0.02,1.0
1115,0.04,0.05,1.0
3045,0.04,0.03,1.0
657,0.04,0.03,1.0
17339,0.05,0.34,0.98
3369,0.04,0.03,1.0
17651,0.04,0.03,1.0
5321,0.03,0.18,1.05
6444,0.04,0.02,1.0
1189,0.04,0.04,1.0
14082,0.04,0.03,1.0
19754,0.04,0.05,1.01
16651,0.03,0.05,1.0
10878,0.04,0.04,1.01
7662,0.05,0.18,1.06
6594,0.04,0.03,1.0
566,0.04,0.03,1.0
4387,0.04,0.04,1.0
6453,0.04,0.02,1.0
17442,0.15,0.09,1.06
10663,-0.27,0.24,0.8
6189,0.04,0.02,1.0
841,0.04,0.02,1.0
4108,0.16,-0.54,0.92
1645,0.04,0.04,1.0
12924,0.35,0.02,0.96
8494,0.04,0.03,1.0
9215,0.04,0.02,1.0
13654,0.04,0.04,1.01
12888,0.04,0.05,1.01
2673,0.04,0.04,1.01
1976,0.04,0.05,1.0
18877,0.18,-0.08,0.95
19494,0.03,0.04,1.01
12475,0.05,0.05,1.0
1151,0.21,0.01,1.0
5152,0.04,0.05,1.0
4353,0.06,-0.17,0.99
7804,0.04,0.04,1.01
15471,0.04,0.05,1.0
12972,0.04,0.04,1.0
766,0.04,0.02,1.0
9051,0.04,0.02,1.0
10792,0.04,0.05,1.01
11898,0.04,0.03,1.0
1487,0.04,0.04,1.01
4083,0.04,0.05,1.0
6170,-0.04,0.39,0.95
17068,0.04,0.03,1.0
18334,0.1,-0.0,1.0
8977,0.04,0.03,1.0
5244,0.08,-0.22999999999999998,0.78
13423,0.03,0.05,1.01
2625,0.03,0.05,1.01
13968,0.04,0.02,1.0
12024,0.04,0.02,1.0
7425,0.04,0.04,1.0
14210,0.04,0.03,1.0
3102,0.04,-0.05,1.06
13402,0.04,0.04,1.0
4371,0.0,0.0,1.02
1300,0.04,0.04,1.0
19332,0.04,0.05,1.01
5532,0.04,0.03,1.0
16715,0.04,0.03,1.0
6997,0.06,-0.04,0.97
8492,0.04,0.03,1.0
2026,0.04,0.05,1.0
12795,0.04,0.04,1.11
14456,0.04,0.02,1.0
8185,0.03,0.05,1.01
8974,0.04,0.02,1.0
2700,0.02,-0.25,0.95
18062,0.04,0.02,1.0
14194,0.04,0.03,1.0
14686,0.04,0.02,1.0
8670,0.04,0.03,1.0
1027,0.04,0.02,1.0
11680,0.21,0.01,1.17
913,0.04,0.03,1.0
12114,0.04,0.03,1.0
12768,0.04,0.05,1.0
18458,0.04,0.05,1.0
12547,0.04,0.04,1.0
6289,0.04,0.02,1.0
6684,0.04,0.02,1.0
6231,0.04,0.03,1.0
11484,0.04,0.03,1.0
17182,0.04,0.02,1.0
1347,0.04,0.05,1.0
1446,0.04,0.04,1.0
3635,0.11,-0.16,0.97
12366,0.04,0.03,1.0
3636,0.1,-0.34,0.99
17995,0.06,-0.12,1.02
10580,0.04,0.04,1.0
18384,0.2,0.11,0.91
6848,0.03,0.05,1.0
18973,0.04,0.04,1.0
2427,0.03,0.04,1.01
9480,0.04,0.03,1.0
15384,0.07,0.05,0.96
2747,0.11,-0.52,0.78
80,0.04,0.02,1.0
4501,0.07,-0.41,0.8
4526,0.04,0.05,1.0
16503,0.04,0.04,1.01
11463,0.04,0.03,1.0
18803,0.04,0.04,1.0
17457,0.04,0.02,1.0
1361,0.04,0.04,1.0
5099,0.04,0.04,1.01
11136,0.04,0.04,1.01
9471,0.04,0.03,1.0
8927,0.04,0.02,1.0
1574,0.04,0.05,1.0
6481,-0.04,0.41,1.03
2166,0.03,0.04,1.01
881,0.04,0.03,1.01
1580,0.04,0.05,1.0
12440,0.04,0.02,1.0
8417,0.04,0.03,1.0
1511,0.04,0.05,1.0
1900,0.04,0.05,1.0
19675,0.04,0.04,1.01
16845,0.04,0.03,1.0
15977,0.04,0.04,1.0
12991,0.04,0.04,1.0
4381,0.03,0.05,1.0
12859,0.14,0.07,1.03
19116,0.09,-0.05,0.99
1848,0.04,0.05,1.0
4272,0.04,0.04,1.0
9884,0.04,0.05,1.0
14052,0.06,0.07,0.99
18111,0.04,0.03,1.0
8775,0.04,0.02,1.0
8731,0.04,0.03,1.0
4898,0.04,0.05,1.01
18127,0.11,-0.12,1.03
16429,0.04,0.04,1.0
15953,0.02,0.09,1.0
9163,0.04,0.02,1.0
5102,0.04,0.04,1.01
5637,0.04,0.03,1.0
13317,0.04,0.05,1.0
8338,0.04,0.03,1.0
2610,0.03,0.04,1.01
19176,0.04,0.05,1.0
13851,0.04,0.04,1.01
18706,0.04,0.04,1.0
17723,0.04,0.02,1.0
5521,0.05,0.02,1.0
5726,0.04,0.02,1.0
12479,0.04,0.05,1.0
3623,0.04,0.02,1.0
12553,0.04,0.04,1.0
18389,0.0,-0.0,0.99
16970,0.04,0.03,1.0
3774,0.04,0.03,1.0
9269,0.03,0.01,1.0
2112,0.04,0.04,1.01
15842,0.02,-0.07,0.99
4602,0.04,0.05,1.01
9208,0.04,0.02,1.0
19784,-0.02,0.08,1.04
15281,0.09,-0.12,1.04
12403,0.04,0.03,1.0
12499,0.04,0.05,1.0
6090,0.04,0.03,1.0
5046,0.03,0.05,1.01
15881,0.04,0.04,1.0
6631,0.03,0.03,1.01
5779,0.04,0.03,1.0
16369,0.04,0.04,1.01
18139,0.03,-0.24,1.13
12069,0.04,0.03,1.0
17568,0.04,0.02,1.0
13478,0.04,0.04,1.01
9966,0.04,0.05,1.0
8658,0.04,0.03,1.0
8044,0.04,0.05,1.01
18752,0.04,0.04,1.0
12791,0.04,0.05,1.0
637,0.04,0.02,1.0
792,0.04,0.03,1.0
4625,0.02,-0.03,1.01
3327,0.04,0.03,1.0
14858,0.04,0.03,1.0
6932,0.04,0.05,1.0
14941,0.04,0.02,1.0
9433,0.04,0.03,1.0
12264,0.04,0.03,1.0
1195,0.04,0.05,1.0
45,0.06,0.0,1.0
15284,0.07,-0.14,1.09
13469,0.04,0.04,1.01
978,0.04,0.03,1.0
15220,0.14,0.21,1.01
8606,0.04,0.03,1.0
12146,0.08,0.14,1.06
6182,0.04,0.03,1.0
7520,0.04,0.04,1.0
11605,0.04,0.03,1.0
3026,0.04,0.03,1.0
6051,0.04,0.03,1.0
16809,0.19,0.02,1.0
1586,0.04,0.05,1.0
15201,0.04,0.05,1.0
9216,0.03,0.03,1.0
4838,0.05,0.07,1.0
18663,0.09,0.05,0.89
6683,0.04,0.03,1.0
14624,0.04,0.02,1.0
1979,0.04,0.05,1.0
4133,0.04,0.05,1.0
9148,0.04,0.02,1.0
14762,0.02,0.03,1.0
15635,0.12,-0.07,0.98
4718,0.04,0.04,1.0
18535,0.04,0.05,1.0
16878,0.08,0.34,1.19
3896,0.04,0.03,1.0
7636,0.04,0.04,1.0
14961,0.04,0.02,1.0
17292,0.07,-0.04,0.98
10158,0.04,0.04,1.0
2885,0.04,0.02,1.0
14251,0.04,0.03,1.0
10922,0.04,0.020000000000000004,0.97
15551,0.03,0.05,1.0
9830,0.04,0.05,1.0
16107,0.06,0.19,1.23
6854,0.04,0.05,1.0
13441,0.36,0.11,1.08
9411,0.04,0.02,1.0
10319,0.04,0.05,1.0
9558,0.05,0.03,1.01
432,0.04,0.03,1.0
9376,0.04,0.03,1.0
14996,0.04,0.02,1.0
8453,0.04,0.03,1.0
5014,0.04,0.04,1.01
9538,0.05,0.03,1.0
1835,0.13,0.09,0.95
14519,0.04,0.02,1.0
18095,0.05,0.0,1.05
1442,0.03,0.05,1.0
19027,0.04,0.04,1.0
8615,0.04,0.03,1.0
461,0.04,0.03,1.0
4828,0.04,0.04,1.0
10632,0.04,0.04,1.0
37,0.04,0.02,1.0
14958,0.04,0.02,1.0
9825,0.04,0.05,1.0
577,0.04,0.02,1.0
9403,-0.13,0.07,1.06
18718,0.04,0.04,1.0
6845,0.04,0.05,1.0
4230,0.04,0.04,1.0
14458,0.06,0.16,1.05
14466,-0.0,-0.16,0.9
12473,0.04,0.04,1.0
714,0.06,0.0,0.91
560,0.04,0.02,1.0
14513,-0.04,0.18,0.97
10078,0.04,0.05,1.0
5621,-0.01,0.14,0.99
12490,0.04,0.05,1.0
2339,0.04,0.06,0.95
5288,0.03,0.05,1.01
9301,0.04,0.03,1.0
4727,0.06,-0.24,1.06
14237,0.03,0.02,1.0
6038,0.04,0.03,1.0
13566,0.04,0.04,1.01
5490,0.03,0.04,1.0
16126,0.03,0.05,1.0
883,0.04,0.03,1.0
13476,0.04,0.05,1.01
12853,0.04,0.05,1.0
5289,0.03,0.05,1.01
11252,0.01,0.04,1.0
15438,0.04,0.05,1.0
568,0.04,0.03,1.0
11861,0.22,0.08,0.91
19199,0.04,0.05,1.0
2249,0.11,0.07,0.97
9408,0.04,0.03,1.0
9849,-0.16,0.01,0.98
4434,0.06,0.09,1.02
12338,0.07,0.06,1.01
12113,0.04,0.02,1.0
15815,0.04,0.04,1.0
15116,0.04,0.02,1.0
13137,0.26,0.08,0.91
239,0.07,0.04,0.99
12326,0.43,-0.03,0.78
13329,0.04,0.05,1.0
6195,0.04,0.03,1.0
17762,0.04,0.03,1.0
15588,0.04,0.05,1.0
1599,0.04,0.05,1.0
14575,0.04,0.02,1.0
16272,0.04,0.04,1.0
4813,0.04,0.04,1.0
6709,0.02,0.27,1.02
1905,0.04,0.05,1.0
9416,0.04,0.03,1.0
7637,0.04,0.03,1.0
6442,0.04,0.03,1.0
11340,0.04,0.03,1.0
1182,0.04,0.05,1.0
16372,0.04,0.04,1.01
17810,0.04,0.03,1.0
16339,0.03,0.04,1.01
8279,0.04,0.04,1.01
4595,0.04,0.04,1.0
3076,0.04,0.03,1.0
11642,0.04,0.02,1.0
16755,0.16,0.25,0.94
2816,0.04,-0.3,0.95
16777,0.04,0.03,1.0
9871,0.04,0.05,1.0
14440,0.04,0.03,1.0
17690,0.04,0.03,1.0
626,0.04,0.02,1.0
8353,0.06,-0.05,1.0
6359,0.04,0.02,1.0
10661,-0.09,0.12,1.08
7734,0.04,0.04,1.0
1744,0.04,0.05,1.0
11246,0.35,0.03,1.01
5546,0.03,0.03,1.0
9905,0.02,0.07,0.91
11338,0.04,0.02,1.0
13425,0.03,0.05,1.01
2874,-0.02,-0.34,0.94
10378,0.04,0.05,1.0
17519,0.04,0.03,1.0
7807,0.04,0.04,1.01
16158,0.04,-0.12,0.83
15997,-0.02,0.27,1.19
6308,0.04,0.03,1.0
14231,0.08,0.11,0.93
9865,0.02,-0.0,0.94
17867,0.05,0.14,1.01
12493,0.04,0.05,1.0
16554,0.04,0.04,1.01
8964,0.04,0.02,1.0
3538,0.04,0.04,1.04
16653,0.04,0.05,1.01
17936,0.04,0.03,1.0
12944,0.03,0.12,1.02
908,0.04,0.02,1.0
16904,0.04,0.03,1.0
761,0.04,0.02,1.0
3209,0.04,0.03,1.0
988,0.04,0.03,1.0
11940,0.04,0.03,1.0
18436,0.19,0.23,0.94
19077,0.04,0.04,1.0
13999,0.03,0.03,1.0
18927,0.25,0.19,0.91
13116,0.04,0.04,1.0
295,0.07,0.09,0.93
18925,0.19,0.39,0.92
1788,0.04,0.04,1.0
4689,0.04,0.04,1.0
14812,0.04,0.03,1.0
5774,0.04,0.03,1.0
6396,0.04,0.03,1.0
13864,0.04,0.03,1.0
16088,0.03,0.04,1.0
12245,0.04,0.04,1.0
6254,0.0,0.39,0.9
6290,0.04,0.03,1.0
19255,0.04,0.04,1.0
16895,0.04,0.03,1.0
3726,0.04,0.03,1.0
10786,0.04,0.04,1.01
8228,0.04,0.04,1.01
17806,0.04,0.03,1.0
17264,0.04,0.02,1.0
8118,0.04,0.04,1.01
2655,0.04,0.05,1.01
2591,0.12,0.009999999999999995,1.01
7276,0.04,0.05,1.0
3256,0.04,0.03,1.0
3285,0.03,0.03,1.0
11784,0.04,0.02,1.0
2382,0.01,0.06,1.07
5172,0.04,0.04,1.01
13742,0.03,0.05,1.02
6200,0.04,0.03,1.0
11360,0.04,0.03,1.0
5856,0.04,0.02,1.0
18987,0.15,-0.26,1.0
12595,0.04,0.05,1.0
13773,0.04,0.05,1.01
12889,0.04,0.05,1.0
11344,0.04,0.03,1.0
14745,0.04,0.02,1.0
5836,0.04,0.03,1.0
14645,0.04,0.02,1.0
1616,0.01,0.09,1.09
6358,0.04,0.03,1.0
11467,0.04,0.02,1.0
18520,0.04,0.04,1.0
2019,0.04,0.05,1.0
13287,0.05,0.05,1.0
19013,0.04,0.04,1.0
6277,0.04,0.03,1.0
604,0.05,0.02,1.0
5785,0.04,0.03,1.0
12219,0.04,0.03,1.0
7777,0.04,0.04,1.0
243,0.02,0.1,1.0
11356,0.04,0.03,1.0
18028,0.04,0.02,1.0
7536,0.04,0.04,1.0
19519,0.03,0.05,1.01
18783,0.04,0.04,1.0
19086,0.04,0.04,1.0
5209,0.04,0.05,1.01
11555,0.04,0.03,1.0
5808,0.07,0.07,1.04
5640,0.04,0.03,1.0
18852,0.04,0.05,1.0
18422,0.02,0.02,1.07
18060,0.04,0.03,1.0
12218,0.04,0.02,1.0
14328,0.04,0.02,1.0
4191,0.04,0.05,1.0
4084,0.04,0.05,1.0
179,0.02,0.08,1.0
17955,0.03,0.22,0.98
5162,0.04,0.05,1.01
8266,0.03,0.03,1.03
6535,0.04,0.02,1.0
16757,0.17,0.25,0.99
11851,0.04,0.02,1.0
19130,0.04,0.04,1.0
18291,0.04,0.05,1.0
16557,0.04,0.04,1.0
9198,0.04,0.03,1.0
19174,0.05,0.04,1.0
2836,0.04,0.02,1.0
10033,0.04,0.05,1.0
2985,-0.02,-0.42,0.87
17352,0.04,0.02,1.0
8618,0.04,0.03,1.0
18483,0.01,0.02,1.06
1247,0.04,0.05,1.0
15454,0.08,-0.15,1.04
4867,0.05,0.04,1.0
4314,0.04,-0.4,0.93
6498,0.04,0.02,1.0
3347,0.04,0.03,1.0
108,0.04,0.03,1.03
12848,0.04,0.05,1.0
11796,0.04,0.03,1.0
16698,0.12,0.29,0.93
10764,0.03,0.04,1.01
15937,0.03,0.04,1.0
6386,-0.01,0.45,0.89
14650,0.04,0.03,1.0
4701,0.04,0.04,1.0
6415,0.01,0.13,1.0
18432,0.08,0.33,1.0
13162,0.04,0.04,1.0
11876,0.08,0.05,1.12
15102,0.04,0.02,1.0
4648,0.04,0.05,1.0
15795,0.04,0.12,1.14
11697,0.04,0.03,1.0
18213,0.04,0.02,1.0
9831,0.04,0.04,1.0
12099,0.04,0.03,1.0
5583,0.04,0.03,1.0
18714,0.04,0.04,1.0
10294,0.02,-0.1,1.12
9696,0.04,0.05,1.0
975,0.02,0.04,1.02
4592,0.04,0.05,1.0
3820,0.04,0.03,1.0
6414,0.02,0.05,1.01
5217,0.04,0.05,1.01
8451,0.09,-0.05,1.18
8190,0.06,0.16,1.07
17900,0.04,0.03,1.0
11657,0.04,0.02,1.0
3172,0.04,0.03,1.0
11261,0.04,0.03,1.0
7983,0.04,0.04,1.01
9882,0.04,0.04,1.0
8294,0.04,0.05,1.01
2860,0.02,-0.38,0.94
6989,0.04,0.05,1.0
10,0.04,0.02,1.0
6410,0.04,0.02,1.0
1428,0.09,0.09,1.0
17850,0.04,0.03,1.0
17411,0.04,0.02,1.0
17646,0.03,-0.21,1.22
5183,0.08,-0.15000000000000002,0.99
16730,0.04,0.03,1.0
14634,0.04,0.03,1.0
2819,0.05,-0.01,1.0
19114,0.15,0.07,0.95
18352,0.04,0.04,1.0
1346,0.04,0.05,1.0
15847,0.08,0.15,0.98
372,0.04,0.03,1.0
911,0.04,0.03,1.0
3524,0.04,0.03,1.0
497,0.08,0.03,0.98
14142,0.04,0.03,1.0
15410,0.04,0.04,1.0
5758,0.04,0.02,1.0
19292,0.04,0.05,1.01
1246,0.04,0.05,1.0
4665,0.04,0.04,1.0
18986,0.07,-0.11,1.05
1197,0.04,0.04,1.0
16918,0.04,0.03,1.0
5353,0.04,0.05,1.0
1425,0.06,0.03,0.94
18495,0.0,0.36,0.96
256,0.03,0.03,1.0
9182,-0.32,0.13,0.92
16400,0.05,0.020000000000000004,1.2
6937,0.04,0.05,1.0
15111,0.04,0.02,1.0
10325,0.04,0.05,1.0
13024,0.03,0.04,1.0
14497,0.04,0.03,1.0
19638,0.04,0.04,1.01
1234,0.04,0.05,1.0
13931,0.04,0.03,1.0
14628,0.04,0.02,1.0
17985,0.04,0.03,1.0
19588,0.04,0.0,0.95
16930,0.04,0.03,1.0
17685,0.04,0.03,1.0
5555,0.04,0.03,1.0
6466,0.07,0.52,0.83
16052,0.09,0.32,1.05
6748,0.04,0.03,1.0
11275,0.04,0.03,1.0
10251,0.04,0.05,1.0
8712,0.04,0.03,1.0
7198,0.04,0.04,1.0
12352,0.04,0.03,1.0
1381,0.04,0.05,1.03
8555,0.04,0.03,1.01
3863,0.04,0.03,1.0
13728,0.15,0.14,1.09
5119,0.1,-0.09000000000000001,0.92
14457,0.04,0.01,1.01
11047,0.04,0.04,1.01
3981,0.04,0.05,1.0
6320,0.11,0.46,0.86
653,0.04,0.03,1.0
18654,0.04,0.05,1.0
8765,0.04,0.03,1.0
18180,0.04,0.15,1.02
17424,0.04,0.02,1.0
5784,0.03,0.03,1.0
8007,0.09,0.35000000000000003,0.92
17366,0.04,0.03,1.0
11478,0.04,0.02,1.0
12194,0.09,0.07,1.02
6783,0.04,0.02,1.0
11735,0.09,0.09,1.0
17609,0.04,0.02,1.0
19136,0.04,0.04,1.0
12454,0.04,0.03,1.0
16405,0.16,-0.21999999999999997,0.84
10816,0.05,0.020000000000000004,1.01
2971,0.04,0.03,1.01
17186,0.04,0.03,1.01
1508,0.04,0.04,1.0
11355,0.04,0.03,1.0
16299,0.07,0.19,1.05
13741,0.07,0.13,1.02
1651,0.04,0.05,1.0
5279,0.04,0.04,1.01
731,0.04,0.02,1.0
7489,0.04,0.04,1.0
18937,0.0,0.11,0.96
11828,-0.0,0.13,0.89
9171,-0.1,0.06,1.01
18867,0.14,0.17,0.89
5659,0.04,0.03,1.0
2724,0.04,0.02,1.0
6456,0.04,0.03,1.0
11499,0.04,0.02,1.0
18631,0.04,0.04,1.0
13044,0.03,0.04,1.0
1545,0.04,0.05,1.0
15317,0.04,0.04,1.0
3217,0.04,0.02,1.0
1158,0.04,0.0,1.04
18914,0.04,0.04,1.0
6562,0.03,0.14,1.05
32,0.04,0.02,1.0
7975,0.04,0.05,1.0
17714,0.04,0.03,1.0
6959,0.11,0.24,0.88
1613,0.11,0.07,0.98
941,0.04,0.02,1.0
14219,0.03,-0.26,0.93
4274,0.04,0.05,1.0
13581,0.04,0.04,1.01
746,0.04,0.02,1.0
4344,0.04,0.05,1.0
18525,0.04,0.04,1.0
6070,-0.01,0.11,1.02
2932,0.0,-0.01,1.0
5051,0.04,0.05,1.01
2658,0.04,0.04,1.01
14528,0.04,0.03,1.0
9688,0.04,0.05,1.0
6148,0.04,0.03,1.0
1824,0.04,0.05,1.0
13201,0.04,0.05,1.0
8234,0.03,0.04,1.01
17974,0.04,0.03,1.0
7927,0.03,0.05,1.01
